Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF12-26,MACD9,OSC,K,D,RSI 6,RSI 12,BBand width,Band%EMA3,,,,,,,,,,,,,,,,,,,,
2011/7/20,44.8,45.3,44.75,45.25,45.27,45.09,43.81,41.4,11098,13744,15939,1.15,1.19,-0.03,65.78%,67.83%,57.42%,60.61%,19.11%,20.08%,,,,,,,,,,,,,,,,,,,,
2011/7/21,45.5,46.35,45.45,46.3,45.43,45.13,44.13,41.5,9916,10945,15309,1.19,1.19,0,76.72%,70.79%,67.72%,65.69%,17.73%,18.90%,,,,,,,,,,,,,,,,,,,,
2011/7/22,46.4,49.45,46.4,48.4,46,45.43,44.57,41.6,23309,13763,16225,1.36,1.22,0.14,79.26%,73.61%,79.57%,73.22%,16.72%,17.81%,,,,,,,,,,,,,,,,,,,,
2011/7/25,48.5,48.5,47.8,48.3,46.57,45.74,44.98,41.71,18908,14722,16895,1.49,1.27,0.21,80.45%,75.89%,77.94%,72.39%,15.46%,16.64%,,,,,,,,,,,,,,,,,,,,
2011/7/26,46.6,46.7,44.3,45.95,46.84,46,45.24,41.78,27023,18051,16984,1.37,1.29,0.08,65.56%,72.45%,49.34%,56.16%,12.91%,14.77%,,,,,,,,,,,,,,,,,,,,
2011/7/27,45,45.5,44,44.65,46.72,46,45.36,41.85,33697,22571,18158,1.18,1.27,-0.09,47.68%,64.19%,39.68%,49.47%,11.35%,13.06%,,,,,,,,,,,,,,,,,,,,
2011/7/28,44,45.45,43.8,45.45,46.55,45.99,45.49,41.93,15874,23762,17354,1.05,1.23,-0.18,41.52%,56.64%,47.30%,53.21%,10.07%,11.57%,,,,,,,,,,,,,,,,,,,,
2011/7/29,45.8,46.5,45.55,45.6,45.99,46,45.55,42.03,20177,23136,18449,0.99,1.18,-0.19,38.30%,50.52%,48.76%,53.91%,9.82%,10.69%,,,,,,,,,,,,,,,,,,,,
2011/8/1,46,46.5,45.45,46,45.53,46.05,45.61,42.15,12416,21837,18280,0.95,1.14,-0.18,38.51%,46.52%,52.92%,55.83%,9.72%,10.20%,,,,,,,,,,,,,,,,,,,,
2011/8/2,46.1,47.3,46,47,45.74,46.29,45.69,42.27,14178,19268,18660,0.98,1.1,-0.13,44.55%,45.87%,62.15%,60.33%,10.04%,10.12%,,,,,,,,,,,,,,,,,,,,
2011/8/3,46.2,46.45,45.4,45.75,45.96,46.34,45.72,42.37,13394,15208,18889,0.91,1.07,-0.16,41.21%,44.31%,48.03%,52.97%,10.00%,10.06%,,,,,,,,,,,,,,,,,,,,
2011/8/4,46.3,46.3,44.8,44.85,45.84,46.2,45.66,42.46,8358,13705,18733,0.79,1.01,-0.22,34.92%,41.18%,40.15%,48.34%,10.13%,10.10%,,,,,,,,,,,,,,,,,,,,
2011/8/5,42,43.8,41.9,43.1,45.34,45.67,45.55,42.51,25329,14735,18935,0.51,0.91,-0.4,30.69%,37.68%,29.03%,40.77%,11.28%,10.69%,,,,,,,,,,,,,,,,,,,,
2011/8/8,43,43.6,40.3,42,44.54,45.04,45.39,42.55,30751,18402,20120,0.21,0.77,-0.56,28.55%,34.64%,24.01%,36.82%,13.21%,11.95%,,,,,,,,,,,,,,,,,,,,
2011/8/9,40.1,44.3,40.1,43.15,43.77,44.76,45.38,42.61,35775,22721,20995,0.02,0.62,-0.6,33.16%,34.15%,37.55%,43.11%,13.30%,12.63%,,,,,,,,,,,,,,,,,,,,
2011/8/10,45,46.15,44.1,45.55,43.73,44.85,45.42,42.71,33883,26819,21014,0.09,0.52,-0.42,47.34%,38.54%,56.82%,53.62%,13.22%,12.92%,,,,,,,,,,,,,,,,,,,,
2011/8/11,44.55,46.45,43.55,44.25,43.61,44.73,45.36,42.8,30242,31196,22450,0.09,0.43,-0.34,50.77%,42.62%,47.33%,48.34%,13.43%,13.18%,,,,,,,,,,,,,,,,,,,,
2011/8/12,44.5,44.85,42.65,42.65,43.52,44.43,45.21,42.87,23245,30779,22757,-0.03,0.34,-0.37,45.65%,43.63%,37.96%,42.70%,14.44%,13.81%,,,,,,,,,,,,,,,,,,,,
2011/8/15,43,44.7,43,43.95,43.91,44.23,45.14,42.96,11356,26900,22651,-0.07,0.26,-0.32,50.64%,45.97%,47.99%,48.07%,14.65%,14.23%,,,,,,,,,,,,,,,,,,,,
2011/8/16,44.7,45.3,44.1,45.25,44.33,44.05,45.17,43.08,19730,23691,23206,-0.01,0.2,-0.21,60.80%,50.91%,56.45%,52.89%,14.60%,14.42%,,,,,,,,,,,,,,,,,,,,
2011/8/17,45.5,45.5,44.3,44.65,44.15,43.94,45.14,43.19,17176,20350,23585,0.02,0.17,-0.15,64.42%,55.41%,51.79%,50.53%,14.65%,14.53%,,,,,,,,,,,,,,,,,,,,
2011/8/18,45,45.2,44.15,45.15,44.33,43.97,45.08,43.29,17436,17789,24492,0.05,0.14,-0.09,69.45%,60.09%,55.46%,52.46%,14.47%,14.50%,,,,,,,,,,,,,,,,,,,,
2011/8/19,44,44,42,42,44.2,43.86,44.76,43.33,29629,19065,24922,-0.11,0.09,-0.21,56.28%,58.82%,35.18%,41.37%,14.08%,14.29%,,,,,,,,,,,,,,,,,,,,
2011/8/22,41,41.9,39.1,39.1,43.23,43.57,44.3,43.33,34526,23699,25300,-0.46,-0.02,-0.44,37.52%,51.72%,25.05%,34.13%,16.27%,15.28%,,,,,,,,,,,,,,,,,,,,
2011/8/23,39.1,40.2,38.3,40.2,42.22,43.28,44.02,43.31,19903,23734,23713,-0.73,-0.16,-0.57,32.78%,45.41%,33.73%,38.58%,17.88%,16.58%,,,,,,,,,,,,,,,,,,,,
2011/8/24,40.2,40.2,37.85,38.35,40.96,42.56,43.7,43.25,30424,26384,23367,-1.02,-0.33,-0.68,24.03%,38.28%,27.34%,34.32%,21.19%,18.88%,,,,,,,,,,,,,,,,,,,,
2011/8/25,38.5,38.85,35.75,36.45,39.22,41.78,43.25,43.17,53017,33500,25644,-1.37,-0.54,-0.83,18.42%,31.66%,22.17%,30.55%,25.55%,22.22%,,,,,,,,,,,,,,,,,,,,
2011/8/26,36.8,37.3,34.1,35.25,37.87,41.04,42.73,43.06,43693,36313,27689,-1.75,-0.78,-0.97,15.64%,26.32%,19.39%,28.40%,30.02%,26.12%,,,,,,,,,,,,,,,,,,,,
2011/8/29,35.7,37.35,35.35,37.35,37.52,40.38,42.3,42.99,19499,33307,28503,-1.91,-1.01,-0.91,19.93%,24.19%,36.20%,36.88%,31.38%,28.75%,,,,,,,,,,,,,,,,,,,,
2011/8/30,37.55,38.4,36.6,37.95,37.07,39.65,41.85,42.92,20526,33432,28583,-1.95,-1.2,-0.76,24.85%,24.41%,40.45%,39.13%,31.19%,29.97%,,,,,,,,,,,,,,,,,,,,
2011/8/31,37.3,38.85,37.3,38.75,37.15,39.06,41.5,42.88,16703,30688,28536,-1.9,-1.34,-0.57,32.22%,27.01%,46.20%,42.13%,30.85%,30.41%,,,,,,,,,,,,,,,,,,,,
2011/9/1,39.7,40.25,39.25,40,37.86,38.54,41.26,42.88,24112,24907,29203,-1.73,-1.42,-0.31,46.69%,33.57%,54.44%,46.61%,30.26%,30.33%,,,,,,,,,,,,,,,,,,,,
2011/9/2,40,40,38.5,39.15,38.64,38.26,41.06,42.87,13919,18952,27632,-1.63,-1.46,-0.17,58.50%,41.88%,48.39%,44.08%,30.42%,30.38%,,,,,,,,,,,,,,,,,,,,
2011/9/5,39,39.3,38.4,38.95,38.96,38.24,40.91,42.85,13817,17815,25561,-1.55,-1.48,-0.07,65.29%,49.68%,46.92%,43.47%,30.78%,30.58%,,,,,,,,,,,,,,,,,,,,
2011/9/6,38.5,38.55,36.25,36.25,38.62,37.85,40.56,42.78,33722,20455,26943,-1.64,-1.51,-0.13,55.18%,51.52%,31.43%,36.15%,32.13%,31.35%,,,,,,,,,,,,,,,,,,,,
2011/9/7,35.8,36.5,34.25,35.25,37.92,37.54,40.05,42.68,43108,25736,28212,-1.81,-1.57,-0.24,43.02%,48.68%,27.41%,33.85%,32.39%,31.87%,,,,,,,,,,,,,,,,,,,,
2011/9/8,35.8,37.05,35.5,36.65,37.25,37.56,39.67,42.61,27579,26429,25668,-1.83,-1.62,-0.21,42.01%,46.46%,40.25%,39.71%,31.99%,31.93%,,,,,,,,,,,,,,,,,,,,
2011/9/9,36.65,37.6,36.45,37.5,36.92,37.78,39.41,42.56,15608,26767,22859,-1.76,-1.65,-0.11,46.06%,46.33%,47.07%,43.06%,31.75%,31.84%,,,,,,,,,,,,,,,,,,,,
2011/9/13,36.5,36.5,34.9,34.9,36.11,37.54,38.96,42.47,26003,29204,23510,-1.85,-1.69,-0.16,34.32%,42.33%,33.17%,36.33%,31.76%,31.80%,,,,,,,,,,,,,,,,,,,,
2011/9/14,35.1,35.5,32.8,33.3,35.52,37.07,38.36,42.36,39864,30432,25444,-2.02,-1.76,-0.26,25.12%,36.59%,27.23%,32.88%,30.98%,31.39%,,,,,,,,,,,,,,,,,,,,
2011/9/15,34.5,34.5,33.3,33.7,35.21,36.57,37.81,42.25,23182,26447,26091,-2.12,-1.83,-0.29,20.91%,31.36%,30.94%,34.58%,29.23%,30.31%,,,,,,,,,,,,,,,,,,,,
2011/9/16,34.5,36.05,34.35,35.25,34.93,36.09,37.32,42.17,25587,26049,26239,-2.07,-1.88,-0.19,26.51%,29.74%,44.17%,40.88%,24.02%,27.16%,,,,,,,,,,,,,,,,,,,,
2011/9/19,35.25,35.45,34.5,34.95,34.42,35.67,36.96,42.1,10876,25102,25935,-2.02,-1.9,-0.11,30.13%,29.87%,42.29%,40.07%,21.86%,24.51%,,,,,,,,,,,,,,,,,,,,
2011/9/20,34.95,35.3,33.5,34.2,34.28,35.2,36.72,42,18648,23631,26418,-2.01,-1.93,-0.09,29.81%,29.85%,37.50%,38.00%,22.25%,23.38%,,,,,,,,,,,,,,,,,,,,
2011/9/21,34.2,34.4,33.5,34.3,34.48,35,36.42,41.89,18300,19319,24876,-2,-1.94,-0.06,30.29%,30.00%,38.61%,38.46%,21.33%,22.35%,,,,,,,,,,,,,,,,,,,,
2011/9/22,33.5,33.5,32.2,32.25,34.19,34.7,36.12,41.73,26399,19962,23205,-2.09,-1.97,-0.12,20.50%,26.83%,26.85%,32.97%,23.13%,22.74%,,,,,,,,,,,,,,,,,,,,
2011/9/23,30.6,30.9,30,30.35,33.21,34.07,35.81,41.52,48718,24588,25319,-2.31,-2.04,-0.27,15.46%,23.04%,20.05%,28.81%,27.19%,24.97%,,,,,,,,,,,,,,,,,,,,
2011/9/26,30.35,30.45,29,29.25,32.07,33.25,35.51,41.27,28522,28117,26610,-2.53,-2.14,-0.39,11.49%,19.19%,17.06%,26.68%,31.81%,28.39%,,,,,,,,,,,,,,,,,,,,
2011/9/27,30.25,31.25,30.2,31.25,31.48,32.88,35.21,41.04,25385,29465,26548,-2.55,-2.22,-0.33,18.30%,18.89%,37.46%,36.05%,33.36%,30.87%,,,,,,,,,,,,,,,,,,,,
2011/9/28,32.3,32.65,31.75,32,31.02,32.75,34.91,40.82,22708,30346,24833,-2.45,-2.27,-0.19,26.38%,21.39%,43.69%,39.22%,33.74%,32.31%,,,,,,,,,,,,,,,,,,,,
2011/9/29,31.8,33.5,31.35,32.7,31.11,32.65,34.61,40.61,17935,28654,24308,-2.31,-2.27,-0.03,36.71%,26.50%,49.35%,42.15%,32.87%,32.59%,,,,,,,,,,,,,,,,,,,,
2011/9/30,33.5,33.9,32.75,32.9,31.62,32.42,34.25,40.39,15047,21919,23254,-2.13,-2.24,0.12,45.11%,32.70%,51.03%,43.00%,30.12%,31.35%,,,,,,,,,,,,,,,,,,,,
2011/10/3,32.4,32.4,31,31,31.97,32.02,33.85,40.15,24740,21163,24640,-2.1,-2.22,0.12,42.42%,35.94%,37.00%,37.29%,28.50%,29.93%,,,,,,,,,,,,,,,,,,,,
2011/10/4,30,31.95,29.9,31.9,32.1,31.79,33.49,39.93,25423,21171,25318,-2.05,-2.18,0.13,48.01%,39.96%,45.51%,41.32%,25.55%,27.74%,,,,,,,,,,,,,,,,,,,,
2011/10/5,32.2,32.3,31.2,31.65,32.03,31.53,33.26,39.73,10689,18767,24557,-1.96,-2.14,0.17,50.03%,43.32%,43.55%,40.53%,24.98%,26.36%,,,,,,,,,,,,,,,,,,,,
2011/10/6,32.75,33.4,32.6,33.15,32.12,31.62,33.16,39.54,20101,19200,23927,-1.77,-2.06,0.3,61.59%,49.41%,56.93%,47.13%,24.45%,25.40%,,,,,,,,,,,,,,,,,,,,
2011/10/7,34.1,35.2,33.6,34.8,32.5,32.06,33.07,39.36,30096,22210,22065,-1.47,-1.94,0.48,71.87%,56.90%,67.19%,53.35%,23.03%,24.21%,,,,,,,,,,,,,,,,,,,,
2011/10/11,36.2,36.7,35.7,36.7,33.64,32.81,33.03,39.22,23805,22023,21593,-1.07,-1.77,0.7,81.25%,65.01%,75.31%,59.35%,22.00%,23.11%,,,,,,,,,,,,,,,,,,,,
2011/10/12,35.75,36.95,35.25,36.55,34.57,33.34,33.11,39.07,16214,20181,20676,-0.76,-1.57,0.81,85.61%,71.88%,73.59%,58.70%,23.36%,23.23%,,,,,,,,,,,,,,,,,,,,
2011/10/13,36.55,37.2,35.15,36.1,35.46,33.75,33.25,38.93,19183,21880,20323,-0.52,-1.36,0.84,85.38%,76.38%,67.98%,56.67%,24.55%,23.89%,,,,,,,,,,,,,,,,,,,,
2011/10/14,35.9,35.9,34.65,34.65,35.76,33.94,33.3,38.75,20513,21962,20581,-0.42,-1.17,0.75,78.61%,77.12%,52.50%,50.52%,24.76%,24.33%,,,,,,,,,,,,,,,,,,,,
2011/10/17,35.05,35.95,34.75,35.5,35.9,34.2,33.31,38.57,13716,18686,20448,-0.3,-0.99,0.7,77.98%,77.41%,59.06%,53.73%,24.91%,24.62%,,,,,,,,,,,,,,,,,,,,
2011/10/18,34.9,35.15,34.55,34.85,35.53,34.59,33.3,38.34,10216,15968,18996,-0.25,-0.85,0.6,72.26%,75.69%,52.42%,50.97%,24.86%,24.74%,,,,,,,,,,,,,,,,,,,,
2011/10/19,35.2,35.3,34.3,34.75,35.17,34.87,33.33,38.12,10228,14771,17476,-0.21,-0.72,0.51,63.76%,71.71%,51.35%,50.54%,25.03%,24.88%,,,,,,,,,,,,,,,,,,,,
2011/10/20,35,35.4,34.4,34.5,34.85,35.16,33.34,37.93,13048,13544,17712,-0.18,-0.61,0.43,50.84%,64.76%,48.40%,49.38%,25.08%,24.98%,,,,,,,,,,,,,,,,,,,,
2011/10/21,34.65,35.25,34.4,34.7,34.86,35.31,33.46,37.76,8934,11228,16595,-0.16,-0.52,0.36,38.49%,56.00%,51.10%,50.37%,25.04%,25.01%,,,,,,,,,,,,,,,,,,,,
2011/10/24,35.8,36.15,35.4,36.1,34.98,35.44,33.75,37.6,17222,11930,15308,-0.04,-0.42,0.38,46.35%,52.78%,66.03%,56.80%,24.20%,24.60%,,,,,,,,,,,,,,,,,,,,
2011/10/25,36.45,36.45,35.65,36,35.21,35.37,34.09,37.44,8741,11635,13802,0.06,-0.33,0.39,50.44%,52.00%,64.34%,56.23%,21.30%,22.95%,,,,,,,,,,,,,,,,,,,,
2011/10/26,35.35,36.45,35.35,36.45,35.55,35.36,34.35,37.29,15950,12779,13775,0.15,-0.23,0.38,66.96%,56.99%,68.66%,58.28%,20.52%,21.74%,,,,,,,,,,,,,,,,,,,,
2011/10/27,36.5,38.75,36.1,38.25,36.3,35.58,34.66,37.14,48684,19906,16725,0.35,-0.12,0.46,74.23%,62.73%,80.18%,65.35%,21.57%,21.65%,,,,,,,,,,,,,,,,,,,,
2011/10/28,39.05,39.3,37.5,37.85,36.93,35.9,34.92,37.01,30409,24201,17715,0.52,0.01,0.51,73.15%,66.21%,73.02%,62.77%,22.16%,21.91%,,,,,,,,,,,,,,,,,,,,
2011/10/31,37.95,38.15,37.5,37.85,37.28,36.13,35.17,36.89,12493,23255,17593,0.63,0.14,0.5,72.43%,68.28%,73.02%,62.77%,22.49%,22.20%,,,,,,,,,,,,,,,,,,,,
2011/11/1,37.85,37.85,36.85,37,37.48,36.35,35.47,36.79,21608,25829,18732,0.66,0.24,0.42,65.98%,67.51%,57.36%,57.08%,19.92%,21.06%,,,,,,,,,,,,,,,,,,,,
2011/11/2,36.1,36.5,35.4,36.35,37.46,36.51,35.69,36.7,23607,27360,20070,0.59,0.31,0.28,57.25%,64.09%,47.92%,53.06%,17.63%,19.34%,,,,,,,,,,,,,,,,,,,,
2011/11/3,36.5,36.5,35.5,35.8,36.97,36.64,35.9,36.57,15757,20775,20341,0.51,0.35,0.16,41.96%,56.72%,41.07%,49.82%,14.17%,16.75%,,,,,,,,,,,,,,,,,,,,
2011/11/4,36.5,37.35,36.5,37.2,36.84,36.89,36.1,36.43,23172,19327,21764,0.53,0.39,0.15,43.59%,52.34%,58.99%,57.09%,12.55%,14.65%,,,,,,,,,,,,,,,,,,,,
2011/11/7,37.3,38,37.1,37.75,36.82,37.05,36.25,36.33,12552,19339,21297,0.59,0.43,0.16,49.31%,51.33%,64.13%,59.60%,12.65%,13.65%,,,,,,,,,,,,,,,,,,,,
2011/11/8,37.7,38.05,36.7,36.75,36.77,37.13,36.25,36.23,12795,17577,21703,0.58,0.46,0.13,44.41%,49.02%,50.36%,53.41%,12.66%,13.16%,,,,,,,,,,,,,,,,,,,,
2011/11/9,36.85,37.4,36.85,36.85,36.87,37.17,36.26,36.11,10229,14901,21131,0.56,0.48,0.09,42.00%,46.68%,51.60%,53.93%,12.72%,12.94%,,,,,,,,,,,,,,,,,,,,
2011/11/10,36,36,34.95,35.3,36.77,36.87,36.22,35.94,27952,17340,19057,0.42,0.47,-0.05,31.65%,41.67%,35.17%,45.34%,12.94%,12.94%,,,,,,,,,,,,,,,,,,,,
2011/11/11,35.8,35.9,35.1,35.4,36.41,36.63,36.26,35.79,14974,15700,17514,0.3,0.43,-0.13,25.94%,36.43%,36.73%,45.94%,12.49%,12.72%,,,,,,,,,,,,,,,,,,,,
2011/11/14,36.3,36.35,35.8,35.9,36.04,36.43,36.28,35.63,9167,15023,17181,0.25,0.4,-0.15,27.51%,33.45%,44.71%,49.03%,12.37%,12.54%,,,,,,,,,,,,,,,,,,,,
2011/11/15,35.6,36.25,35.5,36.25,35.94,36.36,36.35,35.54,5229,13510,15543,0.21,0.36,-0.15,32.32%,33.07%,50.01%,51.15%,11.81%,12.18%,,,,,,,,,,,,,,,,,,,,
2011/11/16,36.35,36.45,34.85,34.95,35.56,36.22,36.36,35.47,13537,14172,14536,0.12,0.31,-0.19,22.59%,29.58%,35.04%,43.75%,11.65%,11.92%,,,,,,,,,,,,,,,,,,,,
2011/11/17,34,34.2,33.5,33.7,35.24,36.01,36.32,35.36,22140,13009,15175,-0.08,0.23,-0.31,16.52%,25.23%,26.05%,37.99%,12.56%,12.24%,,,,,,,,,,,,,,,,,,,,
2011/11/18,33,33.4,32.9,33,34.76,35.59,36.24,35.27,26341,15283,15492,-0.28,0.13,-0.41,11.66%,20.70%,22.21%,35.16%,14.45%,13.35%,,,,,,,,,,,,,,,,,,,,
2011/11/21,32.6,32.6,31.4,31.4,33.86,34.95,36,35.19,24662,18382,16703,-0.55,-0.01,-0.55,7.77%,16.39%,15.83%,29.65%,18.68%,16.01%,,,,,,,,,,,,,,,,,,,,
2011/11/22,31.4,32.6,31,32.45,33.1,34.52,35.82,35.14,17646,20865,17188,-0.72,-0.15,-0.57,14.05%,15.61%,31.37%,36.75%,20.67%,18.34%,,,,,,,,,,,,,,,,,,,,
