Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF,MACD9,OSC,K,D,S_P500,SOXX,ADR,TaiwanAll
2011/7/20,69.7,71.7,69.4,71.6,70.08,70.83,71.79,74.02,58272,59446,55917,-1.15,-1,-0.15,32.35%,26.05%,1326.73,397.41,12.22,8706.17
2011/7/21,71.4,71.6,70.6,71.6,70.26,70.83,71.66,74.05,33277,55219,54470,-1.04,-1.01,-0.03,46.77%,32.96%,1325.84,395.11,12.47,8717.14
2011/7/22,72.4,72.4,71.7,72,70.68,70.78,71.62,74.04,38244,45044,52998,-0.88,-0.98,0.1,60.35%,42.09%,1343.8,398.88,12.57,8765.32
2011/7/25,72.4,72.5,71.4,72,71.14,70.85,71.62,74.02,34963,44443,51283,-0.76,-0.94,0.18,69.40%,51.19%,1345.02,408.56,12.98,8683.51
2011/7/26,72.3,73.7,72.3,73.7,72.18,71.19,71.68,74.03,53159,43583,52599,-0.54,-0.86,0.32,79.60%,60.66%,1337.43,403.08,12.75,8794.24
2011/7/27,73.7,73.9,73,73.4,72.54,71.31,71.78,74.01,45636,41056,50251,-0.36,-0.76,0.4,83.31%,68.21%,1331.94,406.47,12.9,8817.49
2011/7/28,72.8,73.4,72.3,73,72.82,71.54,71.82,74,33721,41145,48182,-0.25,-0.66,0.41,83.32%,73.25%,1304.89,391.13,12.56,8767.2
2011/7/29,71.8,72.4,71.3,72,72.82,71.75,71.78,73.95,60693,45634,45339,-0.24,-0.57,0.33,77.15%,74.55%,1300.67,390.53,12.31,8644.18
2011/8/1,72,72.8,72,72.6,72.94,72.04,71.73,73.91,41139,46870,45656,-0.19,-0.5,0.31,75.14%,74.74%,1292.28,386.94,12.36,8701.38
2011/8/2,72,72.1,71.2,71.4,72.48,72.33,71.64,73.84,33521,42942,43263,-0.22,-0.44,0.22,58.17%,69.22%,1286.94,386.93,12.53,8584.72
2011/8/3,70.1,70.5,69.8,70.1,71.82,72.18,71.51,73.77,46026,43020,42038,-0.36,-0.42,0.07,41.22%,59.89%,1254.05,375.17,12.19,8456.86
2011/8/4,69.6,70.7,69.6,70,71.22,72.02,71.43,73.69,45104,45297,43221,-0.46,-0.43,-0.03,30.58%,50.12%,1260.34,379.39,12.16,8317.27
2011/8/5,66,68,66,66.6,70.14,71.48,71.13,73.54,89691,51096,48365,-0.8,-0.51,-0.3,22.92%,41.05%,1200.07,357.32,11.58,7853.13
2011/8/8,66,67.4,64,65.2,68.66,70.8,70.83,73.36,97536,62376,54623,-1.17,-0.64,-0.53,19.32%,33.81%,1199.38,350.22,11.56,7552.8
2011/8/9,62.5,65.1,62.2,63.3,67.04,69.76,70.48,73.17,116036,78879,60910,-1.59,-0.83,-0.77,16.15%,27.92%,1119.46,331.33,10.94,7493.12
2011/8/10,65.1,67,65,65.8,66.18,69,70.16,73,109804,91634,67327,-1.72,-1.01,-0.71,22.09%,25.98%,1172.53,346.69,11.5,7736.32
2011/8/11,64.6,66.8,64,66.4,65.46,68.34,69.94,72.85,54378,93489,69393,-1.8,-1.17,-0.63,27.93%,26.63%,1120.76,339.54,11.07,7719.09
2011/8/12,67.2,67.6,65.1,65.1,65.16,67.65,69.7,72.69,64349,88421,69758,-1.85,-1.3,-0.55,28.39%,27.22%,1172.64,357.12,11.52,7637.02
2011/8/15,66.9,66.9,65.9,66.8,65.48,67.07,69.56,72.54,40240,76961,69669,-1.8,-1.4,-0.4,36.96%,30.47%,1178.81,355.62,11.46,7819.39
2011/8/16,66.8,66.8,66,66,66.02,66.53,69.43,72.39,39029,61560,70219,-1.78,-1.48,-0.3,39.54%,33.49%,1204.49,362.65,11.67,7798.59
2011/8/17,66,66.2,65.3,65.8,66.02,66.1,69.14,72.24,35881,46775,69205,-1.77,-1.54,-0.23,47.05%,38.01%,1192.76,355.41,11.52,7741.76
2011/8/18,65.8,65.8,63.3,64.4,65.62,65.54,68.78,72.07,73320,50564,72026,-1.85,-1.6,-0.25,44.95%,40.32%,1193.89,353.1,11.51,7614.97
2011/8/19,63.1,63.9,63,63.9,65.38,65.27,68.38,71.9,49269,47548,67984,-1.95,-1.67,-0.28,40.46%,40.37%,1140.65,332.23,11.05,7342.96
2011/8/22,63.6,65.5,63,65,65.02,65.25,68.03,71.75,46372,48774,62868,-1.94,-1.72,-0.21,41.47%,40.73%,1123.53,326.32,10.94,7312.59
2011/8/23,65,67.1,65,66.8,65.18,65.6,67.68,71.61,46548,50278,55919,-1.76,-1.73,-0.03,55.18%,45.55%,1123.82,328.94,11.24,7550.23
