Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF12-26,MACD9,OSC,K,D,RSI 6,RSI 12,BBandwidth,Band
2011/7/20,13.9,13.9,13.55,13.55,13.27,13.22,13.13,13.3,21057,12010,9908,0.11,0.07,0.04,60.45%,48.79%,64.45%,58.30%,15.36%,17.11%
2011/7/21,13.7,14.1,13.7,13.8,13.45,13.25,13.23,13.29,26144,16054,11262,0.15,0.09,0.06,66.97%,54.85%,71.07%,61.98%,13.02%,15.07%
2011/7/22,14,14,13.7,13.7,13.57,13.28,13.32,13.28,9102,17048,11404,0.18,0.11,0.07,69.09%,59.59%,65.24%,59.68%,9.51%,12.29%
2011/7/25,13.75,13.9,13.55,13.55,13.64,13.3,13.36,13.27,7128,17073,11566,0.18,0.12,0.06,67.17%,62.12%,56.84%,56.26%,8.58%,10.44%
2011/7/26,13.75,13.75,13.55,13.7,13.66,13.37,13.37,13.26,3842,13455,11228,0.19,0.13,0.05,68.92%,64.39%,62.62%,58.84%,8.78%,9.61%
2011/7/27,13.6,13.75,13.55,13.75,13.7,13.49,13.38,13.25,6413,10526,11268,0.19,0.15,0.05,70.31%,66.36%,64.52%,59.70%,9.00%,9.30%
2011/7/28,13.5,14.1,13.5,13.85,13.71,13.58,13.4,13.25,18845,9066,12560,0.2,0.16,0.05,73.54%,68.75%,68.37%,61.46%,9.48%,9.39%
2011/7/29,13.95,14.8,13.85,14.8,13.93,13.75,13.47,13.27,50581,17362,17205,0.27,0.18,0.09,82.36%,73.29%,85.87%,73.47%,13.06%,11.23%
2011/8/1,15,15.8,14.8,15.8,14.38,14.01,13.59,13.31,98635,35663,26368,0.4,0.22,0.17,88.24%,78.27%,91.68%,80.46%,19.77%,15.50%
2011/8/2,16,16.5,15.9,16.2,14.88,14.27,13.74,13.35,106157,56126,34790,0.54,0.29,0.26,88.83%,81.79%,93.06%,82.48%,25.37%,20.44%
2011/8/3,16.1,16.4,15.5,15.85,15.3,14.5,13.86,13.38,49087,64661,37593,0.63,0.35,0.27,85.33%,82.97%,79.32%,75.09%,28.33%,24.38%
2011/8/4,15.9,16.3,15.3,15.5,15.63,14.67,13.96,13.41,38189,68530,38798,0.67,0.42,0.25,79.11%,81.68%,67.39%,68.40%,29.80%,27.09%
2011/8/5,14.45,14.8,14.45,14.45,15.56,14.75,14.01,13.42,31159,64645,41004,0.6,0.45,0.15,63.29%,75.55%,43.71%,52.96%,29.60%,28.35%
2011/8/8,14.1,14.45,13.45,13.5,15.1,14.74,14.02,13.42,32820,51482,43573,0.48,0.46,0.02,42.74%,64.62%,31.64%,43.31%,29.46%,28.90%
