®É¶¡,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF,MACD9,OSC,K,D,RSIx6,RSIx12,BBand width,Band%EMA3,TaiwanAll
2014/11/7,38.2,38.85,37.9,38.8,38.57,37.58,37.1,39.34,4445,6972,5495,-0.11,-0.45,0.34,64.31%,61.71%,63.34%,56.23%,10.95%,10.81%,8912.62
2014/11/10,39.15,39.45,38.65,38.65,38.5,37.89,37.25,39.29,3664,5152,5614,-0.02,-0.36,0.34,64.20%,62.54%,60.79%,55.18%,10.82%,10.81%,9049.98
2014/11/11,38.65,39,38.4,38.7,38.44,38.15,37.34,39.24,2320,3797,5496,0.04,-0.28,0.32,63.00%,62.70%,61.41%,55.48%,11.28%,11.05%,9034.14
2014/11/12,38.6,38.8,37.65,37.7,38.33,38.19,37.41,39.16,4939,3950,5292,0.02,-0.22,0.24,49.78%,58.39%,44.53%,48.39%,10.93%,10.99%,8918.95
2014/11/13,37,37.4,35.65,36.3,38.03,38.14,37.42,39.04,11496,5373,6155,-0.11,-0.2,0.09,38.17%,51.65%,30.46%,40.49%,10.87%,10.93%,8980.67
2014/11/14,36.3,36.7,35.8,36.5,37.57,38.07,37.4,38.94,4640,5412,6192,-0.22,-0.21,-0.02,31.96%,45.09%,34.03%,41.97%,11.02%,10.97%,8982.88
2014/11/17,36.5,36.5,35.5,35.5,36.94,37.72,37.3,38.86,5000,5679,5416,-0.36,-0.24,-0.12,21.31%,37.16%,26.01%,36.96%,11.90%,11.44%,8884.39
2014/11/18,35.5,35.75,33.2,33.5,35.9,37.17,37.14,38.73,12033,7622,5709,-0.6,-0.31,-0.29,15.80%,30.04%,16.61%,29.33%,14.88%,13.16%,8859.07
2014/11/19,33.5,34.5,33.5,33.95,35.15,36.74,36.98,38.6,5727,7779,5864,-0.78,-0.4,-0.38,14.54%,24.87%,24.02%,32.74%,16.73%,14.94%,8963.24
2014/11/20,34.05,34.45,34,34,34.69,36.36,36.84,38.46,5333,6547,5960,-0.9,-0.5,-0.4,13.96%,21.23%,24.91%,33.13%,18.21%,16.58%,9078.87
2014/11/21,34.1,34.8,34.1,34.5,34.29,35.93,36.75,38.34,5527,6724,6068,-0.96,-0.59,-0.37,16.78%,19.75%,34.17%,37.12%,19.04%,17.81%,9091.53
2014/11/24,34.6,34.9,33.8,33.85,33.96,35.45,36.67,38.22,5377,6799,6239,-1.02,-0.68,-0.34,15.05%,18.18%,28.66%,34.22%,20.12%,18.96%,9122.33
2014/11/25,33.5,34,33.45,33.55,33.97,34.94,36.54,38.09,7542,5901,6761,-1.1,-0.76,-0.33,12.81%,16.39%,26.31%,32.93%,21.49%,20.23%,9116.24
2014/11/26,33.55,34.2,33.55,33.6,33.9,34.53,36.36,37.97,4616,5679,6729,-1.13,-0.84,-0.3,12.35%,15.05%,27.50%,33.39%,22.61%,21.42%,9122.39
2014/11/27,33.8,34.15,33.75,33.8,33.86,34.28,36.21,37.81,2397,5092,5819,-1.14,-0.9,-0.24,14.30%,14.80%,32.71%,35.31%,23.48%,22.45%,9165.31
2014/11/28,34,34.1,33.55,33.75,33.71,34,36.04,37.68,2777,4542,5633,-1.14,-0.95,-0.19,16.72%,15.44%,32.02%,35.04%,24.18%,23.31%,9187.15
2014/12/1,32.5,33.75,32.3,33.45,33.63,33.8,35.76,37.54,4823,4431,5615,-1.17,-0.99,-0.18,25.89%,18.92%,27.79%,33.33%,23.89%,23.60%,9117.71
