丁,秨絃基,程蔼基,程基,Μ絃基,SMA5,SMA10,SMA20,SMA60,Θユ秖,MA5,MA10,DIF12-26,MACD9,OSC,K,D,S_P500,SOXX,ADR,TaiwanAll
2011/7/20,110,111,108,110,107.5,105.4,102.49,97.06,41746,21747,19375,2.88,2.24,0.63,91.60%,90.32%,1326.73,397.41,12.22,8706.17
2011/7/21,105.5,106,103,104,107.4,105.5,102.77,97.26,38701,26880,21377,2.6,2.32,0.29,72.18%,84.27%,1325.84,395.11,12.47,8717.14
2011/7/22,104,104,99.4,99.6,106.22,105.11,102.84,97.39,46993,33458,24637,2.07,2.27,-0.2,48.69%,72.41%,1343.8,398.88,12.57,8765.32
2011/7/25,99.4,99.8,97.6,98.1,104.24,104.72,102.87,97.51,29837,35533,25439,1.45,2.1,-0.65,33.71%,59.51%,1345.02,408.56,12.98,8683.51
2011/7/26,98.1,99.8,98,99.8,102.3,104.4,103.01,97.65,18208,35097,25731,1.02,1.89,-0.86,27.94%,48.99%,1337.43,403.08,12.75,8794.24
2011/7/27,100,100,98.8,99.4,100.18,103.84,103.06,97.79,17057,30159,25953,0.68,1.65,-0.97,23.11%,40.36%,1331.94,406.47,12.9,8817.49
2011/7/28,99.4,100,98.9,100,99.38,103.39,103.12,97.94,14275,25274,26077,0.43,1.4,-0.97,21.37%,34.03%,1304.89,391.13,12.56,8767.2
2011/7/29,100,100,99.6,100,99.46,102.84,103.07,98.08,12542,18384,25921,0.24,1.17,-0.93,20.22%,29.43%,1300.67,390.53,12.31,8644.18
2011/8/1,100,100.5,99.8,100,99.84,102.04,103.02,98.23,18725,16161,25847,0.11,0.96,-0.85,19.45%,26.10%,1292.28,386.94,12.36,8701.38
2011/8/2,100,100.5,99.8,99.8,99.84,101.07,102.91,98.36,15410,15602,25349,-0.01,0.77,-0.77,21.70%,24.63%,1286.94,386.93,12.53,8584.72
2011/8/3,99.6,99.8,98.9,99.7,99.9,100.04,102.72,98.49,12945,14779,22469,-0.13,0.59,-0.72,25.40%,24.89%,1254.05,375.17,12.19,8456.86
2011/8/4,99.8,100,99.3,100,99.9,99.64,102.57,98.61,12359,14396,19835,-0.21,0.43,-0.63,44.52%,31.43%,1260.34,379.39,12.16,8317.27
2011/8/5,99,99.3,97.6,98.1,99.52,99.49,102.3,98.68,34910,18870,18627,-0.38,0.27,-0.65,35.43%,32.76%,1200.07,357.32,11.58,7853.13
2011/8/8,97.5,97.8,92,94.7,98.46,99.15,101.94,98.71,42050,23535,19848,-0.8,0.05,-0.85,34.21%,33.25%,1199.38,350.22,11.56,7552.8
