Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF12-26,MACD9,OSC,K,D,RSI 6,RSI 12,BBand width,Band%EMA3
2011/7/20,98.3,103,97.6,103,99.18,105.79,110.75,109.68,2428,1887,1804,-3.93,-1.83,-2.1,18.74%,20.44%,44.99%,41.63%,29.51%,27.75%
2011/7/21,105,109,105,106.5,100.48,104.34,110.35,109.95,3042,2002,1888,-3.53,-2.17,-1.36,29.43%,23.44%,54.18%,47.08%,29.63%,28.69%
2011/7/22,110,113,107.5,108.5,101.98,103.39,110,110.25,3296,2354,2077,-2.96,-2.33,-0.64,42.59%,29.82%,58.89%,49.98%,29.44%,29.06%
2011/7/25,109,109.5,104.5,105,103.86,102.34,109.55,110.5,1396,2352,2137,-2.75,-2.41,-0.34,47.62%,35.75%,48.43%,45.24%,29.61%,29.34%
2011/7/26,106,111,106,111,106.8,102.69,109.5,110.84,1879,2408,2148,-2.26,-2.38,0.12,61.55%,44.35%,62.23%,53.50%,29.58%,29.46%
2011/7/27,111,118.5,110.5,118.5,109.9,104.54,109.62,111.32,3919,2706,2297,-1.31,-2.17,0.86,74.37%,54.36%,73.05%,61.43%,29.98%,29.72%
2011/7/28,118,125,115.5,119.5,112.5,106.49,109.92,111.81,5140,3126,2564,-0.28,-1.79,1.51,76.94%,61.89%,74.23%,62.36%,30.78%,30.25%
2011/7/29,119.5,119.5,114.5,115,113.8,107.89,109.92,112.21,2199,2907,2630,0.22,-1.39,1.61,73.77%,65.85%,60.03%,55.74%,30.78%,30.51%
2011/8/1,117,119.5,113.5,117,116.2,110.03,110.02,112.53,2386,3105,2728,0.67,-0.98,1.65,72.78%,68.16%,63.73%,57.90%,31.01%,30.76%
2011/8/2,114,116.5,113.5,114.5,116.9,111.85,109.72,112.77,1568,3042,2725,0.85,-0.61,1.46,64.78%,67.03%,55.96%,54.28%,30.10%,30.43%
2011/8/3,111,113,106.5,112.5,115.7,112.8,109.3,112.93,2114,2681,2694,0.7,-0.35,1.05,56.19%,63.42%,50.09%,51.47%,28.82%,29.62%
2011/8/4,113,115,110,110,113.8,113.15,108.75,113.07,1365,1926,2526,0.58,-0.16,0.74,46.41%,57.75%,43.29%,48.07%,27.25%,28.44%
2011/8/5,102.5,102.5,102.5,102.5,111.3,112.55,107.97,112.96,898,1666,2286,-0.22,-0.17,-0.04,30.94%,48.81%,29.07%,39.53%,26.70%,27.57%
2011/8/8,95.5,99,95.4,95.4,106.98,111.59,106.97,112.71,2010,1591,2348,-1.33,-0.41,-0.93,20.63%,39.42%,21.17%,33.41%,27.98%,27.78%
2011/8/9,88.8,95.4,88.8,92,102.48,109.69,106.19,112.41,2904,1858,2450,-2.53,-0.83,-1.7,16.70%,31.84%,18.31%,30.91%,30.74%,29.26%
2011/8/10,95,96,91.5,96,99.18,107.44,105.99,112.14,3451,2126,2404,-3.22,-1.31,-1.91,18.95%,27.54%,31.39%,36.96%,31.53%,30.39%
2011/8/11,93.7,95.5,91.3,93.1,95.8,104.8,105.65,111.82,2244,2301,2114,-3.85,-1.82,-2.03,17.30%,24.13%,27.55%,34.57%,33.05%,31.72%
2011/8/12,94.8,97.9,94.7,95,94.3,102.8,105.35,111.62,3386,2799,2233,-4.11,-2.27,-1.83,19.00%,22.42%,33.91%,37.47%,34.11%,32.92%
2011/8/15,98,101.5,97.2,101.5,95.52,101.25,105.64,111.56,2915,2980,2286,-3.88,-2.6,-1.28,28.82%,24.55%,51.41%,46.34%,33.14%,33.03%
2011/8/16,103,103.5,101,103,97.72,100.1,105.98,111.43,2585,2916,2387,-3.48,-2.77,-0.71,37.28%,28.80%,54.72%,48.19%,32.14%,32.58%
2011/8/17,104.5,104.5,101,101,98.72,98.95,105.88,111.23,1351,2496,2311,-3.19,-2.86,-0.34,50.76%,36.12%,49.33%,45.89%,32.34%,32.46%
2011/8/18,100,101,97.4,97.4,99.58,97.69,105.42,110.91,1241,2296,2299,-3.22,-2.93,-0.29,52.10%,41.44%,40.68%,41.95%,33.22%,32.84%
2011/8/19,91,94,90.6,90.6,98.7,96.5,104.53,110.48,1582,1935,2367,-3.74,-3.09,-0.65,38.55%,40.48%,29.10%,35.65%,35.56%,34.20%
2011/8/22,90.6,96.9,89,94.1,97.22,96.37,103.98,110.11,1947,1741,2361,-3.95,-3.26,-0.68,36.67%,39.21%,39.70%,40.66%,36.79%,35.49%
2011/8/23,96,97.5,94.1,97.5,96.12,96.92,103.31,109.74,1574,1539,2228,-3.81,-3.37,-0.44,42.73%,40.38%,48.65%,45.17%,36.87%,36.18%
2011/8/24,98,98.5,95.5,96,95.12,96.92,102.18,109.35,1259,1521,2008,-3.68,-3.43,-0.24,43.54%,41.43%,45.10%,43.58%,35.12%,35.65%
2011/8/25,97,99.5,94.5,94.5,94.54,97.06,100.93,108.92,1332,1539,1917,-3.59,-3.46,-0.12,40.85%,41.24%,41.48%,41.96%,32.41%,34.03%
2011/8/26,95.4,97,91.2,94,95.22,96.96,99.88,108.53,976,1418,1676,-3.61,-3.49,-0.12,37.99%,40.16%,40.19%,41.40%,30.58%,32.30%
2011/8/29,97,98.3,96.2,97.9,95.98,96.6,98.93,108.18,1105,1249,1495,-3.31,-3.46,0.15,44.47%,41.59%,53.69%,47.37%,26.49%,29.40%
2011/8/30,98.8,102,98.5,99,96.28,96.2,98.15,107.84,1834,1301,1420,-2.87,-3.34,0.47,55.28%,46.16%,56.98%,48.97%,22.39%,25.90%
2011/8/31,99,99.8,96.8,98.5,96.78,95.95,97.45,107.45,1143,1278,1399,-2.59,-3.19,0.6,61.22%,51.18%,54.85%,48.24%,18.09%,21.99%
2011/9/1,99,102,98.2,98.5,97.58,96.06,96.88,107.06,1222,1256,1397,-2.27,-3.01,0.73,65.17%,55.84%,54.85%,48.24%,13.86%,17.92%
2011/9/2,100.5,105,99,104.5,99.68,97.45,96.98,106.8,4740,2009,1713,-1.68,-2.74,1.06,75.57%,62.42%,72.54%,57.29%,14.63%,16.28%
2011/9/5,102,106.5,102,105,101.1,98.54,97.46,106.63,1967,2181,1715,-1.09,-2.41,1.32,80.45%,68.43%,73.58%,57.96%,16.13%,16.20%
2011/9/6,105,106.5,100.5,101,101.5,98.89,97.91,106.34,1496,2114,1707,-0.8,-2.09,1.29,74.98%,70.61%,54.02%,50.99%,15.49%,15.85%
2011/9/7,105,108,104,108,103.4,100.09,98.51,106.18,2921,2469,1874,-0.19,-1.71,1.52,83.32%,74.85%,70.49%,60.14%,17.67%,16.76%
2011/9/8,110,112,107.5,109,105.5,101.54,99.3,106.1,3757,2976,2116,0.48,-1.27,1.75,82.55%,77.42%,72.20%,61.26%,19.04%,17.90%
2011/9/9,107,111,107,109.5,106.5,103.09,100.03,106.07,1758,2380,2194,0.99,-0.82,1.81,82.89%,79.24%,73.13%,61.85%,20.43%,19.17%
