丁,秨絃基,程蔼基,程基,Μ絃基,SMA5,SMA10,SMA20,SMA60,Θユ秖,MA5,MA10,DIF12-26,MACD9,OSC,"K(9,3)","D(9,3)",RSI 6,RSI 12,BBand width,Band%EMA3
2011/7/20,34.3,34.8,34.2,34.35,35.59,38.88,43.67,50.51,274,242,217,-4.49,-3.58,-0.9,4.31%,6.54%,12.15%,17.74%,53.74%,49.63%
2011/7/21,34.4,34.45,33.5,33.65,34.65,37.76,43.01,50.04,203,248,231,-4.61,-3.79,-0.82,3.35%,5.48%,10.87%,16.87%,57.68%,53.65%
2011/7/22,33.75,35.6,33.7,34.8,34.28,36.83,42.29,49.64,266,254,255,-4.57,-3.94,-0.63,8.13%,6.36%,26.18%,23.62%,59.36%,56.51%
2011/7/25,34.8,34.8,33.5,33.7,34.08,36.1,41.38,49.25,105,223,243,-4.56,-4.07,-0.49,6.40%,6.37%,21.87%,21.78%,59.37%,57.94%
2011/7/26,33.7,34.25,33.7,33.95,34.09,35.41,40.48,48.85,136,197,204,-4.49,-4.15,-0.34,6.57%,6.44%,25.23%,23.27%,57.64%,57.79%
2011/7/27,33.9,34.2,33.9,34,34.02,34.81,39.6,48.5,157,173,208,-4.38,-4.2,-0.19,8.17%,7.02%,25.99%,23.58%,54.66%,56.22%
2011/7/28,34,34,33.7,33.8,34.05,34.35,38.7,48.13,49,143,196,-4.27,-4.21,-0.05,8.48%,7.50%,24.78%,23.16%,49.26%,52.74%
2011/7/29,33.8,34.1,32.5,33.8,33.85,34.07,38.06,47.8,165,122,188,-4.15,-4.2,0.05,19.63%,11.55%,24.78%,23.16%,47.46%,50.10%
2011/8/1,34,34,33,33.6,33.83,33.96,37.5,47.5,126,127,175,-4,-4.16,0.16,24.91%,16.00%,23.22%,22.69%,46.25%,48.18%
2011/8/2,33.6,33.6,32.9,33.55,33.75,33.92,36.91,47.19,91,118,157,-3.86,-4.1,0.24,27.90%,19.97%,22.79%,22.56%,43.40%,45.79%
2011/8/3,33.25,33.25,31.8,32.95,33.54,33.78,36.33,46.89,95,105,139,-3.76,-4.03,0.27,28.69%,22.87%,17.98%,21.02%,40.60%,43.19%
2011/8/4,32.9,33.15,31.55,32.4,33.26,33.66,35.71,46.58,131,122,132,-3.66,-3.96,0.3,27.84%,24.53%,14.59%,19.68%,36.11%,39.65%
2011/8/5,30.3,31,30.15,30.15,32.53,33.19,35.01,46.17,221,133,128,-3.71,-3.91,0.2,18.56%,22.54%,7.58%,15.31%,32.17%,35.91%
2011/8/8,28.6,29.4,28.05,28.05,31.42,32.63,34.36,45.69,160,140,133,-3.86,-3.9,0.04,12.37%,19.15%,4.93%,12.49%,33.14%,34.53%
2011/8/9,26.1,26.8,26.1,26.1,29.93,31.84,33.62,45.18,198,161,139,-4.1,-3.94,-0.16,8.25%,15.52%,3.55%,10.52%,35.42%,34.97%
2011/8/10,26.6,27.6,26.25,26.9,28.72,31.13,32.97,44.72,151,172,139,-4.19,-3.99,-0.2,8.83%,13.29%,15.25%,16.41%,35.71%,35.34%
2011/8/11,25.2,27.2,25.1,27.2,27.68,30.47,32.41,44.23,211,188,155,-4.23,-4.04,-0.2,13.75%,13.44%,19.64%,18.60%,36.12%,35.73%
2011/8/12,28.9,29.1,28.5,29,27.45,29.99,32.03,43.8,268,198,165,-4.04,-4.04,0,24.46%,17.12%,41.46%,30.52%,35.55%,35.64%
2011/8/15,28.5,29.5,28.5,28.7,27.58,29.5,31.73,43.39,88,183,161,-3.85,-4,0.15,31.03%,21.76%,39.32%,29.73%,36.12%,35.88%
2011/8/16,28.8,29.4,28.7,29.4,28.24,29.09,31.5,43.01,104,164,163,-3.62,-3.92,0.3,38.49%,27.34%,46.97%,34.08%,36.35%,36.11%
2011/8/17,29.4,29.4,28.55,29,28.66,28.69,31.24,42.63,94,153,163,-3.43,-3.82,0.4,47.70%,34.12%,43.23%,32.81%,36.29%,36.20%
2011/8/18,29,29.1,28.6,28.95,29.01,28.35,31,42.25,65,124,156,-3.24,-3.71,0.47,60.96%,43.07%,42.72%,32.65%,36.37%,36.28%
2011/8/19,28.5,29.2,27.4,29.2,29.05,28.25,30.72,41.84,56,81,140,-3.07,-3.58,0.51,71.70%,52.61%,46.51%,34.45%,35.19%,35.74%
2011/8/22,29,29,28,28,28.91,28.25,30.44,41.42,35,71,127,-2.94,-3.45,0.51,69.77%,58.33%,33.69%,30.21%,35.14%,35.44%
2011/8/23,28.2,28.9,28,28.15,28.66,28.45,30.15,41,94,69,117,-2.8,-3.32,0.52,69.62%,62.10%,36.32%,31.36%,34.37%,34.91%
2011/8/24,28.05,28.5,28,28,28.46,28.56,29.85,40.55,68,64,108,-2.67,-3.19,0.52,55.94%,60.04%,34.67%,30.81%,33.12%,34.01%
2011/8/25,28.4,28.4,28.1,28.1,28.29,28.65,29.56,40.09,10,53,88,-2.54,-3.06,0.52,48.40%,56.16%,36.96%,31.69%,31.43%,32.72%
