®É¶¡,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF12-26,MACD9,OSC,K,D,RSI 6,RSI 12,BBand width,Band%EMA3,TaiwnaAll
2016/7/21,9,9,8.89,8.9,8.88,8.79,8.27,7.73,31,57,138,0.35,0.29,0.06,60.61%,64.21%,66.10%,67.13%,27.45%,26.84%,9056.56
2016/7/22,8.9,8.9,8.83,8.83,8.9,8.87,8.33,7.73,19,40,134,0.34,0.3,0.04,54.32%,60.91%,59.90%,64.30%,27.17%,27.01%,9013.14
2016/7/25,9,9.09,8.9,9,8.92,8.93,8.39,7.74,71,46,122,0.34,0.31,0.03,48.72%,56.85%,68.51%,67.89%,27.14%,27.07%,8991.67
2016/7/26,8.9,9,8.88,8.89,8.9,8.91,8.45,7.74,209,73,108,0.33,0.31,0.02,47.56%,53.75%,58.72%,63.39%,26.55%,26.81%,9024.79
2016/7/27,8.89,9.15,8.89,8.91,8.91,8.89,8.5,7.75,151,96,84,0.32,0.32,0.01,47.26%,51.59%,59.97%,63.86%,25.65%,26.23%,9063.39
2016/7/28,8.93,9.15,8.93,9.04,8.93,8.91,8.57,7.77,243,139,98,0.32,0.32,0,55.67%,52.95%,67.61%,66.91%,24.67%,25.45%,9076.64
2016/7/29,9.1,9.25,9.05,9.13,8.99,8.95,8.64,7.79,137,162,101,0.32,0.32,0,60.92%,55.61%,72.04%,68.89%,22.93%,24.19%,8984.41
2016/8/1,8.91,10,8.89,9.62,9.12,9.02,8.74,7.82,427,233,140,0.35,0.32,0.02,63.12%,58.11%,85.24%,77.06%,21.98%,23.08%,9080.71
2016/8/2,9.5,9.6,9.2,9.45,9.23,9.07,8.83,7.87,253,242,158,0.36,0.33,0.03,59.75%,58.66%,71.24%,70.09%,20.23%,21.65%,9068.76
2016/8/3,9.45,9.45,9.21,9.23,9.29,9.1,8.9,7.92,73,227,161,0.35,0.33,0.02,51.23%,56.18%,56.76%,62.16%,17.10%,19.38%,9001.71
2016/8/4,9.7,9.99,9.3,9.4,9.37,9.15,8.97,7.97,137,205,172,0.36,0.34,0.02,49.63%,54.00%,63.62%,65.46%,15.22%,17.30%,9024.71
2016/8/5,9.45,9.53,9.1,9.15,9.37,9.18,9.02,8.01,98,198,180,0.34,0.34,0,41.12%,49.70%,49.71%,57.44%,11.97%,14.63%,9092.12
