丁,秨絃基,程蔼基,程基,Μ絃基,SMA5,SMA10,SMA20,SMA60,Θユ秖,MA5,MA10,DIF12-26,MACD9,OSC,"K(9,3)","D(9,3)"
2011/7/20,8612.53,8706.17,8612.53,8706.17,8565.11,8599.35,8621.1,8800.1,1350.93,1176.91,1161.74,-50.34,-51.7,1.35,42.75%,37.78%
2011/7/21,8705.84,8725.97,8683.05,8717.14,8612.27,8593.72,8628.59,8796.25,1276.03,1187.89,1181.07,-38.08,-48.97,10.89,58.65%,44.74%
2011/7/22,8770.95,8794.48,8741.09,8765.32,8650.35,8595.3,8640.22,8791.52,1387.54,1231.35,1186.63,-23.6,-43.9,20.3,69.90%,53.12%
2011/7/25,8764.68,8786.03,8661.76,8683.51,8679.34,8597.06,8649.38,8785.57,1031.41,1220.41,1190.93,-17,-38.52,21.52,70.30%,58.85%
2011/7/26,8700.59,8794.24,8689.15,8794.24,8733.28,8627.38,8665.15,8782.01,1128.61,1234.9,1188.53,-6.5,-32.12,25.61,80.18%,65.96%
2011/7/27,8775.18,8819.93,8754.51,8817.49,8755.54,8660.33,8677.36,8779.86,1328.86,1230.49,1203.7,4.54,-24.78,29.32,86.56%,72.83%
2011/7/28,8739.83,8790.68,8702.84,8767.2,8765.55,8688.91,8683.09,8776.86,1441.49,1263.58,1225.74,9.52,-17.92,27.44,85.96%,77.20%
2011/7/29,8737.72,8771.64,8638.67,8644.18,8741.32,8695.84,8678.31,8770.62,1486.31,1283.34,1257.34,6.74,-12.99,19.73,72.84%,75.75%
2011/8/1,8629.97,8707.87,8629.97,8701.38,8744.9,8712.12,8674.64,8766.02,1347.92,1346.64,1283.52,5.33,-9.33,14.65,62.84%,71.45%
2011/8/2,8629.09,8629.09,8557.7,8584.72,8702.99,8718.14,8664.65,8758.51,1286.98,1378.31,1306.61,-3.51,-8.16,4.66,45.33%,62.74%
2011/8/3,8466.35,8472.27,8360.73,8456.86,8630.87,8693.2,8646.28,8749.07,1471.52,1406.84,1318.67,-22.55,-11.04,-11.51,37.20%,54.23%
2011/8/4,8472.37,8496.07,8317.27,8317.27,8540.88,8653.22,8623.47,8737.35,1415.09,1401.56,1332.57,-43.16,-17.47,-25.7,24.80%,44.42%
2011/8/5,7962.87,7975.82,7844.77,7853.13,8382.67,8562,8578.65,8717.68,1626.19,1429.54,1356.44,-97.14,-33.4,-63.74,16.82%,35.22%
2011/8/8,7769.6,7799.49,7451.29,7552.8,8152.96,8448.93,8522.99,8693.45,1683.25,1496.6,1421.62,-161.66,-59.05,-102.61,13.68%,28.04%
2011/8/9,7261.54,7599.14,7148.76,7493.12,7934.64,8318.82,8473.1,8669.8,2027.1,1644.63,1511.47,-222.78,-91.8,-130.98,16.11%,24.06%
2011/8/10,7717.58,7751.59,7632.34,7736.32,7790.53,8210.7,8435.51,8650.67,1795.18,1709.36,1558.1,-245.74,-122.58,-123.15,22.81%,23.65%
2011/8/11,7566.39,7761.4,7499.54,7719.09,7670.89,8105.89,8397.4,8630.24,1538.8,1734.1,1567.83,-264.07,-150.88,-113.19,27.40%,24.90%
2011/8/12,7825.8,7853.53,7637.02,7637.02,7627.67,8005.17,8350.51,8609.31,1409.74,1690.81,1560.18,-274.11,-175.53,-98.59,29.26%,26.35%
2011/8/15,7769.17,7819.39,7748.46,7819.39,7680.99,7916.97,8314.55,8592.35,935.89,1541.34,1518.97,-270.05,-194.43,-75.61,36.10%,29.60%
2011/8/16,7886.93,7896.19,7778.65,7798.59,7742.08,7838.36,8278.25,8576.54,1057.7,1347.46,1496.05,-262.48,-208.04,-54.44,40.14%,33.12%
2011/8/17,7807.67,7821.99,7732.32,7741.76,7743.17,7766.85,8230.03,8559.62,1139.81,1216.39,1462.87,-258.22,-218.08,-40.15,50.66%,38.96%
2011/8/18,7721.19,7721.19,7561.02,7614.97,7722.35,7696.62,8174.92,8541.09,1205.89,1149.81,1441.96,-262.43,-226.95,-35.49,54.57%,44.17%
2011/8/19,7414.36,7429.96,7316.83,7342.96,7663.53,7645.6,8103.8,8517,1228.58,1113.57,1402.19,-284.27,-238.41,-45.86,45.04%,44.46%
2011/8/22,7348.71,7468.74,7248.69,7312.59,7562.17,7621.58,8035.25,8492.04,1229.1,1172.21,1356.78,-299.93,-250.72,-49.22,33.32%,40.74%
2011/8/23,7369.43,7564.64,7349.57,7550.23,7512.5,7627.29,7973.05,8470.82,1301.64,1221,1284.23,-295.39,-259.65,-35.74,37.73%,39.74%
2011/8/24,7592.51,7594.81,7432.52,7502.93,7464.74,7603.95,7907.33,8446.05,1293.82,1251.81,1234.1,-288.09,-265.34,-22.75,38.24%,39.24%
2011/8/25,7559.47,7564.87,7409.02,7410.87,7423.92,7573.13,7839.51,8418.53,1129.5,1236.53,1193.17,-283.82,-269.04,-14.79,33.84%,37.44%
2011/8/26,7438.52,7503.38,7389.57,7445.1,7444.34,7553.94,7779.56,8392.76,1064.14,1203.64,1158.61,-277.5,-270.73,-6.77,32.67%,35.85%
2011/8/29,7482.92,7608.77,7474.31,7578.01,7497.43,7529.8,7723.39,8368.28,832.33,1124.28,1148.25,-260.29,-268.64,8.35,40.93%,37.55%
2011/8/30,7654.37,7675.17,7599.27,7646.19,7516.62,7514.56,7676.46,8344.77,1092.58,1082.47,1151.74,-237.3,-262.37,25.07,55.33%,43.47%
2011/8/31,7665.22,7741.36,7602.68,7741.36,7564.31,7514.52,7640.69,8323.67,1077.28,1039.16,1145.48,-211.4,-252.18,40.78,70.22%,52.39%
2011/9/1,7799.18,7886.04,7755.55,7757.76,7633.68,7528.8,7612.71,8302.95,1348.76,1083.02,1159.77,-182.11,-238.16,56.05,73.44%,59.41%
2011/9/2,7801.28,7801.28,7703.1,7757.06,7696.08,7570.21,7607.91,8284.93,887.34,1047.66,1125.65,-159.86,-222.5,62.65,74.28%,64.36%
2011/9/5,7637.9,7637.9,7538.58,7551.57,7690.79,7594.11,7607.84,8265.58,895.92,1060.38,1092.33,-155.33,-209.07,53.74,60.40%,63.04%
2011/9/6,7496.24,7522.94,7357.76,7367.19,7634.99,7575.8,7601.55,8241.21,1072.52,1056.37,1069.42,-163.27,-199.91,36.64,40.86%,55.65%
2011/9/7,7468.29,7529.01,7428.7,7529.01,7592.52,7578.41,7591.18,8219.5,934.85,1027.88,1033.52,-159.64,-191.85,32.22,38.04%,49.78%
2011/9/8,7601.29,7626.78,7520.76,7548.37,7550.64,7592.16,7582.65,8201.07,1006.54,959.43,1021.23,-150.42,-183.57,33.15,37.39%,45.65%
2011/9/9,7568.22,7651.27,7547,7610.57,7521.34,7608.71,7581.32,8183.98,898.39,961.64,1004.65,-137.98,-174.45,36.47,40.88%,44.06%
2011/9/13,7530,7538.04,7382,7391.37,7489.3,7590.05,7559.92,8164.99,910.97,964.65,1012.51,-140.96,-167.75,26.79,29.37%,39.16%
2011/9/14,7455.5,7477.86,7186.75,7228.47,7461.56,7548.27,7531.42,8142.17,1225.92,995.33,1025.85,-153.28,-164.86,11.58,21.57%,33.30%
2011/9/15,7374.58,7430.29,7348.21,7385.68,7432.89,7512.71,7513.61,8121.58,1019.22,1012.21,1020.04,-152.64,-162.42,9.77,25.17%,30.59%
2011/9/16,7494.29,7606.7,7494.29,7577.4,7438.7,7494.67,7511.73,8105.08,1312.48,1073.39,1016.41,-136.33,-157.2,20.87,44.81%,35.33%
2011/9/19,7572.83,7572.94,7468.77,7480.88,7412.76,7467.05,7518.63,8087.55,817.82,1057.28,1009.46,-127.02,-151.16,24.14,50.98%,40.55%
2011/9/20,7485.6,7544.88,7389.39,7492.85,7433.06,7461.18,7527.64,8070.76,1017.98,1078.68,1021.67,-119.95,-144.92,24.97,55.95%,45.68%
2011/9/21,7515.66,7574.78,7465.98,7535.88,7494.54,7478.05,7526.93,8055.04,1057.3,1044.96,1020.15,-109.2,-137.78,28.58,62.36%,51.24%
2011/9/22,7419.49,7419.49,7287.76,7305.5,7478.5,7455.7,7517.05,8033.91,1125.21,1066.16,1039.18,-115.38,-133.3,17.92,50.09%,50.86%
2011/9/23,7101.34,7126.81,6997.61,7046.22,7372.27,7405.48,7498.82,8007.14,1320.18,1067.7,1070.55,-140.86,-134.81,-6.05,36.05%,45.92%
2011/9/26,7026.49,7058.43,6877.12,6877.12,7251.51,7332.14,7470.42,7976.1,1072.5,1118.63,1087.96,-169.74,-141.8,-27.94,24.04%,38.63%
2011/9/27,7031.13,7119.14,7027.89,7089.95,7170.93,7302,7446.02,7948.02,1164.4,1147.92,1113.3,-177.72,-148.98,-28.74,25.75%,34.33%
2011/9/28,7148.38,7154.4,7099.73,7146.98,7093.15,7293.85,7421.06,7920.72,1024.82,1141.42,1093.19,-177.54,-154.69,-22.85,29.49%,32.72%
2011/9/29,7090.12,7218.57,7061.01,7182.61,7068.58,7273.54,7393.12,7893.36,922.09,1100.8,1083.48,-173.44,-158.44,-15,34.26%,33.23%
2011/9/30,7222.16,7251.87,7163.75,7225.38,7104.41,7238.34,7366.5,7867.56,918.62,1020.49,1044.09,-163.84,-159.52,-4.32,39.48%,35.32%
2011/10/3,7128.66,7128.66,6998.37,7013.97,7131.78,7191.65,7329.35,7838.63,816.02,969.19,1043.91,-168.64,-161.34,-7.29,32.86%,34.50%
2011/10/4,6937.24,7047.99,6889.99,7047.87,7123.36,7147.15,7304.16,7811.67,898.22,915.95,1031.94,-172.89,-163.65,-9.24,32.40%,33.80%
2011/10/5,7061.17,7091.01,6989.15,6989.15,7091.8,7092.48,7285.26,7786.64,726.33,856.25,998.84,-173.76,-165.68,-8.08,31.56%,33.05%
2011/10/6,7094.61,7170.92,7094.61,7132,7081.67,7075.13,7265.41,7764.04,967.22,865.28,983.04,-163.07,-165.15,2.09,43.71%,36.61%
2011/10/7,7210.92,7253.09,7196.22,7211.96,7078.99,7091.7,7248.59,7742.88,1020.44,885.65,953.07,-145.98,-161.32,15.34,58.70%,43.97%
2011/10/11,7348.86,7398.71,7348.86,7398.71,7155.94,7143.86,7238,7723.28,1125.15,947.47,958.33,-117.52,-152.56,35.03,72.47%,53.47%
2011/10/12,7390.06,7407.08,7323.54,7382.35,7222.83,7173.1,7237.55,7704.01,974.65,962.76,939.36,-94.89,-141.02,46.14,80.05%,62.33%
2011/10/13,7423.18,7444.33,7372.41,7428.33,7310.67,7201.23,7247.54,7685.73,1077.98,1033.09,944.67,-72.52,-127.32,54.81,85.74%,70.13%
2011/10/14,7430.5,7430.5,7353.8,7358.08,7355.89,7218.78,7246.16,7663.27,856.65,1010.97,938.13,-57.61,-113.38,55.77,85.31%,75.19%
2011/10/17,7412.88,7475.06,7401.3,7461.12,7405.72,7242.35,7240.35,7642.33,841.83,975.25,930.45,-39.33,-98.57,59.24,89.41%,79.93%
2011/10/18,7352.12,7379.08,7322.01,7359.48,7397.87,7276.91,7234.28,7618.9,761.79,902.58,925.03,-32.11,-85.28,53.17,85.01%,81.62%
2011/10/19,7393.73,7393.73,7316.58,7353.37,7392.08,7307.46,7227.3,7596.73,783.04,864.26,913.51,-26.15,-73.45,47.3,79.35%,80.86%
2011/10/20,7347.93,7361.22,7240.15,7244.32,7355.27,7332.97,7212.72,7570.9,791.45,806.95,920.02,-27.7,-64.3,36.6,58.65%,73.46%
2011/10/21,7272.51,7272.51,7205.21,7254.51,7334.56,7345.22,7210.17,7544.85,659.66,767.55,889.26,-30.66,-57.57,26.91,45.19%,64.03%
2011/10/24,7352.43,7472.5,7352.43,7470.3,7336.4,7371.06,7231.38,7523.24,1019.83,803.15,889.2,-17.1,-49.48,32.38,62.87%,63.65%
2011/10/25,7506.08,7506.08,7468.53,7491.21,7362.74,7380.31,7262.08,7504.02,979.17,846.63,874.6,-2.46,-40.08,37.62,73.60%,66.96%
2011/10/26,7437.77,7548.51,7425.99,7535.82,7399.23,7395.65,7284.38,7484.59,854.72,860.96,862.61,10.81,-29.9,40.71,81.17%,71.70%
2011/10/27,7548.36,7590.88,7504.96,7565.21,7463.41,7409.34,7305.29,7467.6,1161.16,934.91,870.93,24.68,-18.98,43.66,85.23%,76.21%
2011/10/28,7693.24,7743.37,7602.63,7616.06,7535.72,7435.14,7326.96,7453.59,1447.02,1092.38,929.97,42.28,-6.73,49.01,82.27%,78.23%
2011/10/31,7637.48,7658.97,7557.05,7587.69,7559.2,7447.8,7345.08,7441.43,913.7,1071.16,937.15,51.87,4.99,46.88,78.53%,78.33%
2011/11/1,7547.24,7656.26,7505.96,7622.01,7585.36,7474.05,7375.48,7437.58,985.72,1072.46,959.55,59.08,15.81,43.27,78.17%,78.28%
2011/11/2,7500.54,7599.54,7448.28,7598.45,7597.88,7498.56,7403.01,7438.34,971.33,1095.79,978.38,60.84,24.82,36.03,76.47%,77.68%
2011/11/3,7603.45,7603.45,7460.31,7460.31,7576.9,7520.16,7426.56,7437.79,1060.32,1075.62,1005.26,56.33,31.12,25.21,60.18%,71.84%
2011/11/4,7581.61,7635.75,7578.36,7603.23,7574.34,7555.03,7450.13,7435.57,1113.07,1008.83,1050.6,60.86,37.07,23.79,58.73%,67.47%
2011/11/7,7623.16,7638.03,7586.86,7621.72,7581.14,7570.17,7470.61,7433.95,780.76,982.24,1026.7,64.66,42.59,22.08,59.71%,64.89%
2011/11/8,7652.47,7683.09,7600.79,7600.79,7576.9,7581.13,7480.72,7433.35,838.39,952.77,1012.62,67.25,47.52,19.73,57.04%,62.27%
2011/11/9,7646.12,7654.15,7561.86,7561.86,7569.58,7583.73,7489.69,7429.05,843.46,927.2,1011.49,65.6,51.14,14.47,50.85%,58.46%
2011/11/10,7431.26,7434.37,7274.84,7308.68,7539.26,7558.08,7483.71,7420.89,1098.49,934.83,1005.23,43.36,49.58,-6.22,36.67%,51.20%
2011/11/11,7369.73,7385.98,7288.49,7367.29,7492.07,7533.2,7484.17,7414.65,839.23,880.07,944.45,27.08,45.08,-18,31.99%,44.80%
2011/11/14,7472.16,7544.23,7472.16,7525.65,7472.85,7527,7487.4,7413.16,836.31,891.18,936.71,27.16,41.5,-14.34,41.81%,43.80%
